Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Phthalic anhydride,6811,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC=C2C(=C1)C(=O)OC2=O,C8H4O3,148.12,0,3,0,36.19,43.37,1.16,1.6,1.0,1.65,1.45,-2.17,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.051,No,No,1.879,2.64,No,Yes,0.369,1.716
Phytol,5280435,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
Propylene Glycol,1030,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(CO)O,C3H8O2,76.09,1,2,2,18.86,40.46,1.0,-0.92,-0.64,-0.63,-0.35,0.33,High,No,No,No,No,No,No,0,4,0.55,0,No,1.736,No,No,1.606,2.708,No,No,-2.131,3.102
"Pyrrolidin-2-one, N-(2,4-dimethylcyclopent-3-enoyl)-, cis-",578892,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1C=C(CC1C(=O)N2CCCC2=O)C,C12H17NO2,207.27,2,2,0,62.31,37.38,1.85,0.94,1.36,2.08,1.61,-1.59,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,0.656,No,No,2.073,2.07,No,Yes,0.439,1.789
Squalene,638072,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,C30H50,410.72,15,0,0,143.48,0.0,6.37,11.58,10.6,7.93,9.38,-8.69,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.393,No,Yes,1.848,0.946,No,No,0.464,-3.485
Thymol,6989,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1=CC(=C(C=C1)C(C)C)O,C10H14O,150.22,1,1,1,48.01,20.23,2.32,3.3,2.82,2.76,2.8,-3.19,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,1.007,No,No,2.074,2.212,Yes,Yes,0.387,1.213
Tricosane,12534,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CCCCCCCCCCCCCCCCCCCCCCC,C23H48,324.63,20,0,0,112.67,0.0,6.35,12.07,9.22,8.03,9.0,-8.14,Low,No,Yes,No,No,No,No,1,2,0.55,0,No,-0.144,No,Yes,1.663,1.087,No,Yes,0.501,-3.095
"Tricyclo[6.3.0.0(1,5)]undec-2-en-4-one, 2,3,5,9-tetramethyl-",585747,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1CCC23C1CCC2(C(=O)C(=C3C)C)C,C15H22O,218.33,0,1,0,67.08,17.07,2.87,3.6,3.74,3.56,3.55,-3.46,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.225,No,No,1.672,1.23,No,Yes,1.442,0.496
Tumerone,558173,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1=CC=C(CC1)C(C)CC(=O)C=C(C)C,C15H22O,218.33,4,1,0,70.88,17.07,3.19,3.33,4.21,3.37,3.63,-3.03,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.527,No,No,1.78,1.135,No,Yes,1.705,0.392
Vanillic Acid,8468,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,168.15,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,1.08,-2.02,High,No,No,No,No,No,No,0,0,0.85,0,No,0.719,No,No,2.454,2.032,No,No,0.265,1.926
Violaxanthin,448438,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=CC34C(CC(CC3(O4)C)O)(C)C,C40H56O4,600.87,10,4,2,185.8,65.52,7.22,9.76,8.97,5.37,8.39,-9.05,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.384,No,No,2.132,2.054,No,No,0.308,-2.492
Vitexin,5280441,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.38,0.21,-0.23,-2.02,-0.07,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.577,No,No,2.595,4.635,No,No,0.285,4.897
