Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-PINENE,6654,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Selinene,10856614,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.31,5.2,4.73,4.63,4.4,-4.32,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.543,1.351,No,Yes,1.623,0.353
"Amorpha-4,7-diene",91752761,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1CC=C(C2C1CCC(=C2)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.38,4.22,4.58,4.63,4.11,-3.7,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.21,No,No,1.525,1.43,No,Yes,1.615,0.219
Aromadendrene,91354,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
Benzyl Alcohol,244,Hairy Fig,Ficus hispida L.,PMID: 11710602,C1=CC=C(C=C1)CO,C7H8O,108.14,1,1,1,32.57,20.23,1.66,1.1,1.03,1.54,1.41,-1.69,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.89,No,No,1.994,1.792,No,Yes,-0.287,2.02
Beta-Elemene,6918391,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
beta-Farnesene,5281517,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=CCCC(=CCCC(=C)C=C)C)C,C15H24,204.35,7,0,0,72.32,0.0,3.86,6.03,5.2,4.84,4.97,-4.44,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.198,No,No,1.473,1.332,No,Yes,2.151,-0.375
beta-Longipinene,25203064,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1(CCCC2(C3C1C2C(=C)CC3)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.22,4.85,4.42,5.65,4.47,-4.16,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.07,No,No,1.572,1.385,No,No,1.366,0.402
"beta-OCIMENE, (3E)-",5281553,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
"beta-Ocimene, (3Z)-",5320250,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
