Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Catechol,289,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1=CC=C(C(=C1)O)O,C6H6O2,110.11,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.97,-1.63,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.017,No,No,2.14,2.313,No,Yes,0.105,2.194
Cetyl Alcohol,2682,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCCCCO,C16H34O,242.44,14,1,1,80.19,20.23,4.41,7.11,5.46,4.45,5.42,-4.9,High,Yes,Yes,No,No,No,No,1,0,0.55,0,No,0.029,No,No,1.574,1.139,No,Yes,2.056,-0.929
Chlorazanil,10374,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1=CC(=CC=C1NC2=NC=NC(=N2)N)Cl,C9H8ClN5,221.65,2,3,2,58.79,76.72,1.92,2.13,1.86,1.05,1.6,-3.02,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.272,No,No,3.052,1.317,Yes,No,0.308,1.892
cis-5-Dodecenoic acid,5312378,Mango ,Mangifera indica,PMID: 24962691,CCCCCCC=CCCCC(=O)O,C12H22O2,198.3,9,2,1,61.1,37.3,2.93,4.71,3.77,3.04,3.55,-3.44,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.311,No,No,1.512,2.818,No,Yes,0.934,0.043
Citric Acid,311,Mango ,Mangifera indica,PMID: 24295704,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C6H8O7,192.12,5,7,4,37.47,132.13,-1.49,-1.72,-1.25,-1.48,-1.51,0.38,Low,No,No,No,No,No,No,0,2,0.56,0,No,0.749,No,No,2.148,3.698,No,No,0.285,4.251
Digallic acid,341,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,C14H10O9,322.22,4,9,6,74.92,164.75,0.85,1.08,1.13,0.02,0.61,-2.64,Low,No,Yes,No,No,No,No,1,0,0.11,1,No,0.363,No,No,2.471,3.218,No,No,0.285,6.019
Dimethyl azelate,15612,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,COC(=O)CCCCCCCC(=O)OC,C11H20O4,216.27,10,4,0,57.56,52.6,3.02,2.46,2.06,1.85,2.36,-2.07,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.627,No,No,1.895,2.46,No,Yes,0.65,1.169
dimethylsilyl ester,33113,Mango ,Mangifera indica,PMID: 28484444,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)N,C10H17N6O12P3,506.2,8,16,8,97.12,311.36,-1.49,-5.99,-2.37,-5.2,-4.48,1.11,Low,No,No,No,No,No,No,3,2,0.11,0,No,0.205,No,No,2.468,5.414,No,No,0.285,9.189
Disperse red,17885,Mango ,Mangifera indica,PMID: 24962691,COC1=C(C2=C(C(=C1)N)C(=O)C3=CC=CC=C3C2=O)N,C15H12N2O3,268.27,1,3,2,75.05,95.41,1.9,3.5,1.65,0.36,1.9,-4.09,High,No,Yes,No,Yes,No,Yes,0,0,0.55,2,Yes,0.012,No,No,2.149,1.193,No,No,0.479,1.12
Docosanol,12620,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCCCCCCCO,C22H46O,326.6,20,1,1,109.03,20.23,5.73,10.36,7.8,5.84,7.61,-7.07,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.277,No,Yes,1.722,0.948,No,Yes,0.656,-2.374
Einecs,5484218,Mango ,Mangifera indica,PMID: 28484444,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OCC(C(C(C=O)O)O)O)O)O,C20H18O11,434.35,7,11,7,105.42,198.12,1.56,0.14,-0.06,-2.54,0.02,-2.54,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.615,No,No,2.526,3.625,No,No,0.285,7.03
Elaidic Acid,637517,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.81,No,No,1.417,3.259,No,Yes,0.676,-1.438
Ellagic Acid,5281855,Mango ,Mangifera indica,PMID: 24295704,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Epicatechin gallate,107905,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O10,442.37,4,10,7,110.04,177.14,1.44,1.53,2.2,0.05,1.25,-3.7,Low,No,No,No,No,No,No,1,0,0.55,1,No,0.449,No,Yes,2.558,2.777,No,No,0.285,6.146
Ferulic acid,445858,Mango ,Mangifera indica,PMID: 24295704,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Formic acid methanol,18963719,Mango ,Mangifera indica,PMID: 28484444,CO.C(=O)O,C2H6O3,78.07,0,3,2,17.16,57.53,0.42,-0.65,-0.69,-1.37,-0.56,0.09,High,No,No,No,No,No,No,0,4,0.85,0,No,1.854,No,No,1.496,2.789,No,No,-0.157,3.203
Fumaric Acid,444972,Mango ,Mangifera indica,PMID: 24295704,C(=CC(=O)O)C(=O)O,C4H4O4,116.07,2,4,2,24.41,74.6,0.32,-0.34,-0.29,-0.64,-0.35,-0.21,High,No,No,No,No,No,No,0,3,0.85,0,No,0.69,No,No,1.626,3.029,No,No,-0.065,2.956
Gallic Acid,370,Mango ,Mangifera indica,PMID: 24295704,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Genistin,5281377,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.11,0.86,0.05,-1.61,0.35,-3.18,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.412,No,No,2.643,4.406,No,No,0.285,5.016
Heneicosanoic acid,16898,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCCCCCC(=O)O,C21H42O2,326.56,19,2,1,104.83,37.3,4.78,9.83,7.5,5.36,6.98,-6.8,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.812,No,No,1.373,3.561,Yes,Yes,0.427,-2.287
Heptadecanoic acid,10465,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCC(=O)O,C17H34O2,270.45,15,2,1,85.6,37.3,4.11,7.69,5.94,4.44,5.57,-5.37,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.757,No,No,1.422,3.255,No,Yes,0.746,-1.324
Isobutyronitrile,6559,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC(C)C#N,C4H7N,69.11,0,1,0,21.09,23.79,1.37,0.46,1.17,0.6,0.8,-0.56,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.137,No,No,2.139,1.844,No,No,-0.831,1.914
"Isophthalic acid, hept-2-yl isohexyl ester",91737062,Mango ,Mangifera indica,PMID: 28484444,CCCCCC(C)OC(=O)C1=CC=CC(=C1)C(=O)OCCCC(C)C,C21H32O4,348.48,13,4,0,101.88,52.6,4.74,6.44,5.41,4.59,5.38,-5.38,High,Yes,No,No,Yes,No,Yes,1,0,0.55,0,No,1.206,No,Yes,1.595,2.347,No,No,1.267,-1.728
Lauric Acid,3893,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCC(=O)O,C12H24O2,200.32,10,2,1,61.57,37.3,2.7,4.2,3.99,3.15,3.51,-3.07,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.34,No,No,1.511,2.89,No,Yes,0.954,-0.084
Linolenic Acid,5280934,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.84,No,No,1.441,3.115,Yes,Yes,0.722,-1.183
Lupeol,259846,Mango ,Mangifera indica,PMID: 24295704,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,426.72,1,1,1,135.14,20.23,4.68,9.87,8.02,6.92,7.26,-8.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.502,No,Yes,2.563,0.89,No,No,0.316,-1.696
Mangiferin,5281647,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,C19H18O11,422.34,2,11,8,100.7,201.28,0.71,-0.37,-1.04,-2.66,-0.81,-2.44,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.58,No,No,2.396,4.277,No,No,0.285,5.898
Melamine,7955,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C1(=NC(=NC(=N1)N)N)N,C3H6N6,126.12,0,3,3,33.04,116.73,0.38,-1.37,-1.36,-2.73,-1.27,-0.25,High,No,No,No,No,No,No,0,4,0.55,0,No,0.512,No,No,2.313,2.273,No,No,0.263,2.988
