Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Allopurinol,135401907,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1=NNC2=C1C(=O)NC=N2,C5H4N4O,136.11,0,3,2,34.51,74.43,0.09,-0.67,-0.35,-0.36,0.01,-0.93,High,No,No,No,No,No,No,0,3,0.55,0,No,0.957,No,No,1.922,1.713,No,No,0.19,2.693
Alpha-D-glucopyranoside,9898327,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCC(=O)OCC1(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O,C30H56O12,608.76,23,12,7,154.81,195.6,5.27,4.73,1.42,-0.4,2.84,-5.08,Low,No,No,No,No,No,No,3,3,0.17,0,No,-0.047,No,Yes,2.386,3.809,No,No,0.285,5.042
Antheraxanthin,5281223,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C,C40H56O3,584.87,10,3,2,186.28,52.99,7.1,10.34,9.76,6.15,8.82,-9.32,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.89,No,No,2.328,2.311,No,No,0.333,-1.979
Bromoacetic acid,6227,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C(=O)O)Br,C2H3BrO2,138.95,1,2,1,21.37,37.3,0.76,0.41,0.47,0.27,0.45,-0.89,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.223,No,No,2.262,2.079,No,No,-0.448,2.194
Canrenone,13789,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C,C22H28O3,340.46,0,3,0,97.35,43.37,2.96,2.68,4.37,4.01,3.61,-3.64,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,-0.45,No,No,1.875,1.449,No,No,0.62,0.517
Chelidonine,197810,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6,C20H19NO5,353.37,0,6,1,96.12,60.39,3.2,2.16,1.47,1.98,2.26,-3.73,High,Yes,Yes,Yes,No,Yes,Yes,0,0,0.55,0,No,-0.193,No,Yes,2.468,1.622,Yes,No,0.387,0.332
Cholic acid,221493,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,C24H40O5,408.57,4,5,4,113.76,97.99,2.87,2.02,3.45,3.05,2.78,-3.38,High,No,No,No,No,No,No,0,0,0.56,0,No,-0.705,No,No,2.216,0.539,No,No,0.313,1.982
Cyanidin 3-O-rutinoside,441674,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O)O,C27H31O15+,595.53,6,15,10,139.52,252.36,-2.55,-2.68,-0.77,-3.08,-2.5,-1.73,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.455,No,Yes,2.499,3.287,No,No,0.285,5.7
Cyclohexanol,7966,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1CCC(CC1)O,C6H12O,100.16,0,1,1,30.0,20.23,1.76,1.23,1.31,1.14,1.41,-1.24,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.105,No,No,2.055,1.731,No,Yes,-1.201,2.551
Cyclopentadecanone,10409,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1CCCCCCCC(=O)CCCCCC1,C15H28O,224.38,0,1,0,72.3,17.07,3.03,5.81,5.03,3.67,4.37,-4.89,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.481,No,No,1.993,1.154,No,Yes,1.051,1.228
Decahydroisoquinoline,97812,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1CCC2CNCCC2C1,C9H17N,139.24,0,1,1,47.87,12.03,2.28,2.2,1.41,2.15,2.05,-2.09,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.542,No,No,2.355,1.769,No,Yes,0.443,1.457
