Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alanine,5950,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CC(C(=O)O)N,C3H7NO2,89.09,1,3,2,21.01,63.32,0.33,-2.96,-0.58,-3.06,-1.46,1.54,High,No,No,No,No,No,No,0,4,0.55,0,No,1.118,No,No,1.994,2.799,No,No,0.086,3.123
Alizarin,6293,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,C14H8O4,240.21,0,4,2,63.8,74.6,1.85,3.16,1.87,0.67,2.02,-3.81,High,Yes,Yes,No,No,No,Yes,0,0,0.55,2,Yes,0.154,No,No,2.255,2.083,No,No,0.759,1.746
Arachidic Acid,10467,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Ascorbic Acid,54670067,Indian date palm,Phoenix sylvestris L.,PMID: 30626221,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.0,-1.64,-1.41,-2.6,-1.36,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Baclofen,2284,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,C10H12ClNO2,213.66,4,3,2,55.32,63.32,1.66,-0.96,1.86,1.96,1.28,-0.61,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.836,No,No,2.131,1.451,No,No,0.278,1.578
Behenic Acid,8215,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,340.58,20,2,1,109.64,37.3,5.26,10.37,7.89,5.58,7.4,-7.16,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.796,No,No,1.369,3.639,Yes,Yes,0.381,-2.528
Benzoic Acid,243,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC=C(C=C1)C(=O)O,C7H6O2,122.12,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.44,-2.2,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.612,No,No,2.17,2.637,No,No,0.087,1.838
Butyric Acid,264,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCC(=O)O,C4H8O2,88.11,2,2,1,23.11,37.3,1.1,0.79,0.87,0.49,0.68,-0.75,High,Yes,No,No,No,No,No,0,3,0.85,0,No,0.91,No,No,1.72,2.641,No,No,-0.65,2.149
Caffeic Acid,689043,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Capric Acid,2969,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCC(=O)O,C10H20O2,172.26,8,2,1,51.96,37.3,2.5,4.09,3.21,2.58,3.0,-2.96,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.059,No,No,1.533,2.75,No,Yes,0.701,0.48
Cetyl Alcohol,2682,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCCCCCCCCO,C16H34O,242.44,14,1,1,80.19,20.23,4.41,7.11,5.46,4.45,5.42,-4.9,High,Yes,Yes,No,No,No,No,1,0,0.55,0,No,0.029,No,No,1.574,1.139,No,Yes,2.056,-0.929
Cholesterol,5997,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C27H46O,386.65,5,1,1,123.61,20.23,4.96,8.72,7.39,6.34,6.76,-7.4,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,-0.58,No,Yes,2.1,0.967,No,No,0.626,-1.715
Cianidanol,9064,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Citramalic acid,1081,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CC(CC(=O)O)(C(=O)O)O,C5H8O5,148.11,3,5,3,30.89,94.83,0.09,-0.85,-0.7,-0.96,-0.7,-0.02,High,No,No,No,No,No,No,0,4,0.56,0,No,0.559,No,No,1.5,3.059,No,No,0.219,3.231
DL-Isoleucine,791,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCC(C)C(C(=O)O)N,C6H13NO2,131.17,3,3,2,35.44,63.32,1.26,-1.72,0.44,-1.82,-0.4,0.63,High,No,No,No,No,No,No,0,2,0.55,0,No,1.137,No,No,2.009,2.838,No,No,0.15,2.421
D-malate,92824,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.09,3,5,3,26.05,94.83,-0.01,-1.26,-1.09,-1.37,-1.0,0.32,High,No,No,No,No,No,No,0,4,0.56,0,No,1.212,No,No,1.818,3.104,No,No,0.285,3.348
D-Threitol,169019,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(C(CO)O)O)O,C4H10O4,122.12,3,4,4,25.99,80.92,0.61,-2.29,-2.31,-1.91,-1.44,1.04,Low,No,No,No,No,No,No,0,4,0.55,0,No,2.207,No,No,0.9,3.023,No,No,0.106,4.153
Ferulic acid,445858,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
