Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-Selinene,10856614,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.31,5.2,4.73,4.63,4.4,-4.32,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.543,1.351,No,Yes,1.623,0.353
Alpha-Terpineol,17100,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
alpha-Ylangene,442409,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
Aromadendrene,91354,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1CCC2C1C3C(C3(C)C)CCC2=C,C15H24,204.35,0,0,0,67.14,0.0,3.26,4.71,4.27,5.65,4.34,-4.07,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.146,No,No,1.526,1.332,No,No,1.431,0.429
beta-Bisabolene,10104370,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(CC1)C(=C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.67,6.43,5.04,4.53,4.83,-4.89,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
beta-CARYOPHYLLENE OXIDE,1742210,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
beta-CITRONELLOL,8842,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(CCC=C(C)C)CCO,C10H20O,156.27,5,1,1,50.87,20.23,2.72,3.91,2.75,2.7,2.92,-2.94,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.7,No,No,1.669,2.025,No,Yes,0.699,1.093
Beta-Elemene,6918391,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
beta-Selinene,442393,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC(=C)C1CCC2(CCCC(=C)C2C1)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.5,-4.47,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.03,No,No,1.581,1.511,No,Yes,1.736,-0.078
Bornyl acetate,6448,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=O)OC1CC2CCC1(C2(C)C)C,C12H20O2,196.29,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,3.0,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.526,No,No,1.904,1.875,No,Yes,0.557,1.593
