Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Cyperene,12308843,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1CCC2CC3=C(CCC13C2(C)C)C,C15H24,204.35,0,0,0,66.88,0.0,3.17,4.32,4.56,5.65,4.4,-3.83,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.204,No,No,1.56,1.319,No,No,1.432,0.386
Cyperol,14076601,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=C2CC(CCC2(CCC1O)C)C(=C)C,C15H24O,220.35,1,1,1,69.94,20.23,2.98,3.43,3.84,3.56,3.49,-3.3,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.036,No,No,1.747,1.25,No,Yes,1.623,0.727
Cyperotundone,12308615,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1CCC2CC3=C(C(=O)CC13C2(C)C)C,C15H22O,218.33,0,1,0,67.08,17.07,2.72,3.4,3.74,3.56,3.48,-3.34,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.276,No,No,1.625,1.161,No,Yes,1.396,0.729
Ellagic Acid,5281855,Nut Grass,Cyperus rotundus L.,PMID: 19023813,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
"gamma-Bisabolene, (Z)-",3033866,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC(=C(C)CCC=C(C)C)CC1,C15H24,204.35,3,0,0,70.68,0.0,3.57,6.33,5.18,4.53,4.85,-4.9,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.361,No,No,1.641,1.376,No,Yes,1.832,0.004
Gamma-elemene,6432312,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C,C15H24,204.35,2,0,0,70.42,0.0,3.4,5.35,4.89,4.53,4.56,-4.35,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.082,No,No,1.514,1.338,No,Yes,1.771,0.218
gamma-Gurjunene,90805,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC(C=C2C1CCC2C)C(=C)C,C15H24,204.35,1,0,0,69.04,0.0,3.42,5.27,4.58,4.63,4.33,-4.36,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.191,No,No,1.583,1.35,No,Yes,1.629,0.214
gamma-Gurjunene epoxide,91750423,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC(C2C3(C1CCC3C)O2)C(C)C,C15H26O,222.37,1,1,0,69.0,12.53,3.42,4.4,3.87,3.81,3.82,-3.92,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.261,No,No,1.537,1.275,No,Yes,1.275,0.426
gamma-Muurolene,12313020,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CC2C(CC1)C(=C)CCC2C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.31,4.58,4.63,4.18,-3.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.048,No,No,1.54,1.473,No,Yes,1.73,-0.024
Humulene,5281520,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
