Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,4-dimethylpiperazine",7818,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CN1CCN(CC1)C,C6H14N2,114.19,0,2,0,42.46,6.48,1.96,-0.4,-0.9,0.21,0.25,-0.3,Low,No,No,No,No,No,No,0,2,0.55,0,No,0.985,No,No,1.93,0.851,No,Yes,-0.349,3.12
1-chloroicosane,39150,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CCCCCCCCCCCCCCCCCCCCCl,C20H41Cl,316.99,18,0,0,103.05,0.0,5.68,11.19,8.27,6.69,8.07,-7.67,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.08,No,Yes,2.377,1.071,No,Yes,0.592,-2.701
"1-ethyl-2,3,4,5,6-pentamethylbenzene",595338,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CCC1=C(C(=C(C(=C1C)C)C)C)C,C13H20,176.3,1,0,0,61.04,0.0,2.93,4.54,3.79,5.32,4.33,-4.07,Low,Yes,No,No,No,Yes,No,1,0,0.55,0,No,0.676,No,No,1.772,1.391,No,Yes,1.434,0.649
"1-methoxy-3,5-dimethylbenzene",70126,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1=CC(=CC(=C1)OC)C,C9H12O,136.19,1,1,0,42.87,9.23,2.39,2.68,2.31,2.46,2.52,-2.75,High,Yes,Yes,No,No,No,No,0,1,0.55,0,No,0.85,No,No,1.817,2.046,No,Yes,0.363,1.262
"1R,3as,5ar,5br,7ar,9S,11ar,11br,13ar,13br)-3a- (hydroxymethyl)-5a,5b,8,8,11a-pentamethyl-1- prop-1-en-2-yl- 1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-
hexadecahydrocyclopenta[a]chrysen-9-ol",72326,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.72,2,2,2,136.3,40.46,4.31,8.28,7.0,6.0,6.36,-7.67,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.794,No,Yes,2.699,2.172,Yes,No,0.315,-1.118
"2-(hydroxymethyl)-2-nitropropane-1,3-diol",31337,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C(C(CO)(CO)[N+](=O)[O-])O,C4H9NO5,151.12,4,5,3,32.97,106.51,0.05,-2.17,-2.02,-2.41,-1.84,0.85,High,No,No,No,No,No,No,0,4,0.55,0,Yes,1.371,No,No,1.609,1.941,No,No,-0.518,3.345
"2,3,4,5-tetrahydroxypentanal",854,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C(C(C(C(C=O)O)O)O)O,C5H10O5,150.13,4,5,4,31.0,97.99,0.1,-2.32,-2.74,-2.48,-1.74,0.95,Low,No,No,No,No,No,No,0,3,0.55,0,No,1.805,No,No,0.679,3.109,No,No,0.262,4.64
"2,6-ditert-butyl-4-diazoniophenolate",595368,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(C)(C)C1=CC(=CC(=C1[O-])C(C)(C)C)[N+]#N,C14H20N2O,232.32,2,3,0,69.86,51.21,0.0,5.57,4.91,3.05,3.16,-4.92,High,Yes,No,No,No,No,No,0,0,0.55,0,Yes,0.273,No,No,2.729,1.235,No,Yes,0.41,-0.47
"2,7-diphenyl-1H-indole",622897,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1=CC=C(C=C1)C2=CC=CC3=C2NC(=C3)C4=CC=CC=C4,C20H15N,269.34,2,0,1,89.17,15.79,3.02,5.34,5.5,4.28,4.76,-5.48,High,Yes,Yes,Yes,No,No,Yes,1,0,0.55,0,Yes,0.5,No,Yes,1.797,0.961,Yes,No,0.332,-0.568
2-[2-[(E)-2-[4-(dimethylamino)phenyl]ethenyl]- 6-phenylpyran-4-ylidene]propanedinitrile,5379468,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CN(C)C1=CC=C(C=C1)C=CC2=CC(=C(C#N)C#N)C=C(O2)C3=CC=CC=C3,C24H19N3O,365.43,4,3,0,111.52,60.05,3.53,4.63,4.96,2.42,3.95,-5.08,High,Yes,No,Yes,Yes,No,Yes,0,0,0.55,1,No,0.311,No,No,2.537,0.272,No,No,1.417,-0.759
"2-hydroxy-4-methoxy-3,5,6-trimethylbenzoic acid",596183,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1=C(C(=C(C(=C1C(=O)O)O)C)OC)C,C11H14O4,210.23,2,4,2,56.81,66.76,1.18,2.71,2.02,1.65,1.96,-3.01,High,Yes,No,No,No,No,No,0,0,0.85,0,No,0.859,No,No,2.541,1.912,No,No,0.278,1.582
"2-hydroxy-5-methylbenzene-1,3-dicarbaldehyde",81744,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1=CC(=C(C(=C1)C=O)O)C=O,C9H8O3,164.16,2,3,1,44.21,54.37,0.98,1.41,1.33,0.47,1.26,-1.98,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.162,No,No,1.948,2.014,No,No,0.195,1.829
2-prop-1-en-2-ylpyrazine,62897,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(=C)C1=NC=CN=C1,C7H8N2,120.15,1,2,0,36.93,25.78,1.63,1.22,1.51,0.13,1.26,-1.78,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.19,No,No,2.149,2.473,No,Yes,-0.386,1.897
"3-(4-chlorophenyl)-1,2,3,4-tetrahydropyrido[1,2- a]benzimidazole-1,2-dicarboxylic acid",620130,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1C(C(C(N2C1=NC3=CC=CC=C32)C(=O)O)C(=O)O)C4=CC=C(C=C4)Cl,C19H15ClN2O4,370.79,3,5,2,96.12,92.42,1.33,3.15,3.36,2.62,2.5,-4.35,High,No,No,No,No,No,No,0,0,0.56,0,No,0.483,No,No,2.408,2.214,Yes,No,0.285,1.062
"3,3-diethyl-1-methyldiaziridine",545118,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CCC1(NN1C)CC,C6H14N2,114.19,2,2,1,42.41,24.95,2.06,1.57,0.19,1.43,1.33,-1.41,High,No,No,No,No,No,No,0,1,0.55,0,No,0.937,No,No,2.391,1.399,Yes,Yes,-0.24,2.13
"3,5-dihydroxy-2-methylpyran-4-one",70627,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1=C(C(=O)C(=CO1)O)O,C6H6O4,142.11,0,4,2,33.99,70.67,1.3,0.21,0.36,-1.42,0.26,-1.3,High,No,No,No,No,No,No,0,3,0.55,0,No,-0.024,No,No,1.91,1.875,No,No,-0.088,2.902
"3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one",119838,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1=C(C(=O)C(CO1)O)O,C6H8O4,144.13,0,4,2,32.39,66.76,1.19,-0.37,-0.26,-1.77,-0.22,-0.5,High,No,No,No,No,No,No,0,3,0.85,0,Yes,1.507,No,No,1.395,2.662,No,No,0.11,2.771
3-hydroxy-4-methoxybenzaldehyde,12127,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,COC1=C(C=C(C=C1)C=O)O,C8H8O3,152.15,2,3,1,40.34,46.53,1.44,0.97,1.21,0.51,1.12,-1.67,High,Yes,No,No,No,No,No,0,2,0.55,0,No,1.314,No,No,1.911,2.02,No,No,-0.011,1.899
3-hydroxyoxolan-2-one,545831,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,C1COC(=O)C1O,C4H6O3,102.09,0,3,1,21.67,46.53,0.67,-0.37,-0.71,-0.79,-0.14,-0.24,High,No,No,No,No,No,No,0,4,0.55,0,No,1.334,No,No,1.74,2.572,No,No,-0.747,2.616
3-methyl-1-(4-phenylbenzoyl)-2-propan-2- ylimidazolidin-4-one,602378,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(C)C1N(C(=O)CN1C(=O)C2=CC=C(C=C2)C3=CC=CC=C3)C,C20H22N2O2,322.4,4,2,0,102.62,40.62,3.17,3.8,2.49,2.66,3.04,-4.34,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.55,0,Yes,0.055,No,Yes,2.525,1.602,Yes,No,0.737,1.0
"4,4,6a,6b,8a,11,11,14b-octamethyl- 1,2,4a,5,6,6a,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,13-dione",565780,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC1(CCC2(CCC3(C(C2C1)C(=O)CC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C)C,C30H48O2,440.7,0,2,0,134.59,34.14,4.16,8.14,7.64,5.89,6.61,-7.7,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.291,No,Yes,2.346,1.842,No,No,0.36,-1.189
"4,7-dimethoxy-1,1,4a-trimethyl-8-propan-2-yl- 10,10a-dihydro-9H-phenanthren-2-one",621440,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,CC(C)C1=C(C=CC2=C1CCC3C2(C(=CC(=O)C3(C)C)OC)C)OC,C22H30O3,342.47,3,3,0,101.72,35.53,3.74,5.09,4.78,3.38,4.47,-5.15,High,Yes,No,Yes,Yes,Yes,Yes,0,0,0.85,0,No,-0.188,No,No,2.22,1.899,No,No,1.857,-0.86
4-[(E)-3-hydroxyprop-1-enyl]-2-methoxyphenol,1549095,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,COC1=C(C=CC(=C1)C=CCO)O,C10H12O3,180.2,3,3,2,51.02,49.69,2.16,1.79,1.3,1.13,1.62,-2.23,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.338,No,No,2.029,1.884,No,No,0.385,2.066
4-ethenyl-2-methoxyphenol,332,Prickly chaff flower,Achyranthes aspera,PMID: 23577802,COC1=C(C=CC(=C1)C=C)O,C9H10O2,150.17,2,2,1,45.05,29.46,2.14,2.81,1.93,1.71,2.14,-2.81,High,Yes,Yes,No,No,No,No,0,1,0.55,0,Yes,1.067,No,No,2.076,2.019,No,Yes,0.071,1.957
